text,regex
36-223,[0-9][0-9][-][0-9][0-9][0-9]
85-622,[0-9][0-9][-][0-9][0-9][0-9]
02-786,[0-9][0-9][-][0-9][0-9][0-9]
86-856,[0-9][0-9][-][0-9][0-9][0-9]
37-914,[0-9][0-9][-][0-9][0-9][0-9]
86-720,[0-9][0-9][-][0-9][0-9][0-9]
29-856,[0-9][0-9][-][0-9][0-9][0-9]
69-099,[0-9][0-9][-][0-9][0-9][0-9]
89-384,[0-9][0-9][-][0-9][0-9][0-9]
84-977,[0-9][0-9][-][0-9][0-9][0-9]
69-075,[0-9][0-9][-][0-9][0-9][0-9]
58-435,[0-9][0-9][-][0-9][0-9][0-9]
18-742,[0-9][0-9][-][0-9][0-9][0-9]
26-740,[0-9][0-9][-][0-9][0-9][0-9]
64-273,[0-9][0-9][-][0-9][0-9][0-9]
29-018,[0-9][0-9][-][0-9][0-9][0-9]
30-562,[0-9][0-9][-][0-9][0-9][0-9]
19-807,[0-9][0-9][-][0-9][0-9][0-9]
25-104,[0-9][0-9][-][0-9][0-9][0-9]
77-923,[0-9][0-9][-][0-9][0-9][0-9]
69-588,[0-9][0-9][-][0-9][0-9][0-9]
38-291,[0-9][0-9][-][0-9][0-9][0-9]
02-789,[0-9][0-9][-][0-9][0-9][0-9]
61-356,[0-9][0-9][-][0-9][0-9][0-9]
05-487,[0-9][0-9][-][0-9][0-9][0-9]
75-686,[0-9][0-9][-][0-9][0-9][0-9]
94-316,[0-9][0-9][-][0-9][0-9][0-9]
31-805,[0-9][0-9][-][0-9][0-9][0-9]
86-143,[0-9][0-9][-][0-9][0-9][0-9]
83-848,[0-9][0-9][-][0-9][0-9][0-9]
43-704,[0-9][0-9][-][0-9][0-9][0-9]
80-687,[0-9][0-9][-][0-9][0-9][0-9]
07-264,[0-9][0-9][-][0-9][0-9][0-9]
73-179,[0-9][0-9][-][0-9][0-9][0-9]
86-109,[0-9][0-9][-][0-9][0-9][0-9]
00-749,[0-9][0-9][-][0-9][0-9][0-9]
06-264,[0-9][0-9][-][0-9][0-9][0-9]
08-883,[0-9][0-9][-][0-9][0-9][0-9]
34-158,[0-9][0-9][-][0-9][0-9][0-9]
72-153,[0-9][0-9][-][0-9][0-9][0-9]
85-919,[0-9][0-9][-][0-9][0-9][0-9]
95-166,[0-9][0-9][-][0-9][0-9][0-9]
35-594,[0-9][0-9][-][0-9][0-9][0-9]
69-286,[0-9][0-9][-][0-9][0-9][0-9]
85-790,[0-9][0-9][-][0-9][0-9][0-9]
32-042,[0-9][0-9][-][0-9][0-9][0-9]
96-553,[0-9][0-9][-][0-9][0-9][0-9]
64-789,[0-9][0-9][-][0-9][0-9][0-9]
07-455,[0-9][0-9][-][0-9][0-9][0-9]
77-263,[0-9][0-9][-][0-9][0-9][0-9]
80-271,[0-9][0-9][-][0-9][0-9][0-9]
33-634,[0-9][0-9][-][0-9][0-9][0-9]
59-097,[0-9][0-9][-][0-9][0-9][0-9]
44-993,[0-9][0-9][-][0-9][0-9][0-9]
22-389,[0-9][0-9][-][0-9][0-9][0-9]
18-835,[0-9][0-9][-][0-9][0-9][0-9]
82-747,[0-9][0-9][-][0-9][0-9][0-9]
41-980,[0-9][0-9][-][0-9][0-9][0-9]
47-085,[0-9][0-9][-][0-9][0-9][0-9]
70-935,[0-9][0-9][-][0-9][0-9][0-9]
65-613,[0-9][0-9][-][0-9][0-9][0-9]
85-521,[0-9][0-9][-][0-9][0-9][0-9]
66-653,[0-9][0-9][-][0-9][0-9][0-9]
02-213,[0-9][0-9][-][0-9][0-9][0-9]
75-735,[0-9][0-9][-][0-9][0-9][0-9]
00-608,[0-9][0-9][-][0-9][0-9][0-9]
55-972,[0-9][0-9][-][0-9][0-9][0-9]
33-597,[0-9][0-9][-][0-9][0-9][0-9]
48-929,[0-9][0-9][-][0-9][0-9][0-9]
67-364,[0-9][0-9][-][0-9][0-9][0-9]
21-112,[0-9][0-9][-][0-9][0-9][0-9]
11-963,[0-9][0-9][-][0-9][0-9][0-9]
60-750,[0-9][0-9][-][0-9][0-9][0-9]
56-365,[0-9][0-9][-][0-9][0-9][0-9]
27-063,[0-9][0-9][-][0-9][0-9][0-9]
90-579,[0-9][0-9][-][0-9][0-9][0-9]
31-935,[0-9][0-9][-][0-9][0-9][0-9]
82-924,[0-9][0-9][-][0-9][0-9][0-9]
34-371,[0-9][0-9][-][0-9][0-9][0-9]
54-544,[0-9][0-9][-][0-9][0-9][0-9]
91-875,[0-9][0-9][-][0-9][0-9][0-9]
84-355,[0-9][0-9][-][0-9][0-9][0-9]
70-968,[0-9][0-9][-][0-9][0-9][0-9]
38-348,[0-9][0-9][-][0-9][0-9][0-9]
67-265,[0-9][0-9][-][0-9][0-9][0-9]
21-337,[0-9][0-9][-][0-9][0-9][0-9]
93-772,[0-9][0-9][-][0-9][0-9][0-9]
51-923,[0-9][0-9][-][0-9][0-9][0-9]
91-268,[0-9][0-9][-][0-9][0-9][0-9]
80-939,[0-9][0-9][-][0-9][0-9][0-9]
71-093,[0-9][0-9][-][0-9][0-9][0-9]
63-831,[0-9][0-9][-][0-9][0-9][0-9]
53-150,[0-9][0-9][-][0-9][0-9][0-9]
56-483,[0-9][0-9][-][0-9][0-9][0-9]
11-307,[0-9][0-9][-][0-9][0-9][0-9]
78-508,[0-9][0-9][-][0-9][0-9][0-9]
46-981,[0-9][0-9][-][0-9][0-9][0-9]
69-631,[0-9][0-9][-][0-9][0-9][0-9]
59-190,[0-9][0-9][-][0-9][0-9][0-9]
32-398,[0-9][0-9][-][0-9][0-9][0-9]
60-035,[0-9][0-9][-][0-9][0-9][0-9]
03-114,[0-9][0-9][-][0-9][0-9][0-9]
97-721,[0-9][0-9][-][0-9][0-9][0-9]
48-808,[0-9][0-9][-][0-9][0-9][0-9]
23-022,[0-9][0-9][-][0-9][0-9][0-9]
31-061,[0-9][0-9][-][0-9][0-9][0-9]
28-051,[0-9][0-9][-][0-9][0-9][0-9]
91-110,[0-9][0-9][-][0-9][0-9][0-9]
22-461,[0-9][0-9][-][0-9][0-9][0-9]
65-714,[0-9][0-9][-][0-9][0-9][0-9]
62-898,[0-9][0-9][-][0-9][0-9][0-9]
05-528,[0-9][0-9][-][0-9][0-9][0-9]
46-585,[0-9][0-9][-][0-9][0-9][0-9]
79-144,[0-9][0-9][-][0-9][0-9][0-9]
51-345,[0-9][0-9][-][0-9][0-9][0-9]
29-247,[0-9][0-9][-][0-9][0-9][0-9]
96-019,[0-9][0-9][-][0-9][0-9][0-9]
04-137,[0-9][0-9][-][0-9][0-9][0-9]
85-701,[0-9][0-9][-][0-9][0-9][0-9]
37-510,[0-9][0-9][-][0-9][0-9][0-9]
93-793,[0-9][0-9][-][0-9][0-9][0-9]
48-510,[0-9][0-9][-][0-9][0-9][0-9]
76-641,[0-9][0-9][-][0-9][0-9][0-9]
95-520,[0-9][0-9][-][0-9][0-9][0-9]
41-088,[0-9][0-9][-][0-9][0-9][0-9]
35-649,[0-9][0-9][-][0-9][0-9][0-9]
43-508,[0-9][0-9][-][0-9][0-9][0-9]
44-848,[0-9][0-9][-][0-9][0-9][0-9]
90-560,[0-9][0-9][-][0-9][0-9][0-9]
06-377,[0-9][0-9][-][0-9][0-9][0-9]
58-803,[0-9][0-9][-][0-9][0-9][0-9]
13-080,[0-9][0-9][-][0-9][0-9][0-9]
97-971,[0-9][0-9][-][0-9][0-9][0-9]
91-395,[0-9][0-9][-][0-9][0-9][0-9]
20-231,[0-9][0-9][-][0-9][0-9][0-9]
63-890,[0-9][0-9][-][0-9][0-9][0-9]
34-113,[0-9][0-9][-][0-9][0-9][0-9]
31-042,[0-9][0-9][-][0-9][0-9][0-9]
64-127,[0-9][0-9][-][0-9][0-9][0-9]
64-397,[0-9][0-9][-][0-9][0-9][0-9]
22-126,[0-9][0-9][-][0-9][0-9][0-9]
64-566,[0-9][0-9][-][0-9][0-9][0-9]
99-796,[0-9][0-9][-][0-9][0-9][0-9]
89-396,[0-9][0-9][-][0-9][0-9][0-9]
68-094,[0-9][0-9][-][0-9][0-9][0-9]
82-122,[0-9][0-9][-][0-9][0-9][0-9]
17-288,[0-9][0-9][-][0-9][0-9][0-9]
90-589,[0-9][0-9][-][0-9][0-9][0-9]
29-305,[0-9][0-9][-][0-9][0-9][0-9]
93-520,[0-9][0-9][-][0-9][0-9][0-9]
77-240,[0-9][0-9][-][0-9][0-9][0-9]
04-064,[0-9][0-9][-][0-9][0-9][0-9]
97-639,[0-9][0-9][-][0-9][0-9][0-9]
17-396,[0-9][0-9][-][0-9][0-9][0-9]
82-722,[0-9][0-9][-][0-9][0-9][0-9]
62-536,[0-9][0-9][-][0-9][0-9][0-9]
46-052,[0-9][0-9][-][0-9][0-9][0-9]
97-122,[0-9][0-9][-][0-9][0-9][0-9]
64-557,[0-9][0-9][-][0-9][0-9][0-9]
47-765,[0-9][0-9][-][0-9][0-9][0-9]
87-003,[0-9][0-9][-][0-9][0-9][0-9]
16-504,[0-9][0-9][-][0-9][0-9][0-9]
05-554,[0-9][0-9][-][0-9][0-9][0-9]
51-162,[0-9][0-9][-][0-9][0-9][0-9]
32-984,[0-9][0-9][-][0-9][0-9][0-9]
01-237,[0-9][0-9][-][0-9][0-9][0-9]
34-886,[0-9][0-9][-][0-9][0-9][0-9]
45-401,[0-9][0-9][-][0-9][0-9][0-9]
96-185,[0-9][0-9][-][0-9][0-9][0-9]
54-889,[0-9][0-9][-][0-9][0-9][0-9]
02-257,[0-9][0-9][-][0-9][0-9][0-9]
30-415,[0-9][0-9][-][0-9][0-9][0-9]
61-594,[0-9][0-9][-][0-9][0-9][0-9]
15-575,[0-9][0-9][-][0-9][0-9][0-9]
55-832,[0-9][0-9][-][0-9][0-9][0-9]
31-670,[0-9][0-9][-][0-9][0-9][0-9]
37-893,[0-9][0-9][-][0-9][0-9][0-9]
86-477,[0-9][0-9][-][0-9][0-9][0-9]
39-422,[0-9][0-9][-][0-9][0-9][0-9]
46-678,[0-9][0-9][-][0-9][0-9][0-9]
80-874,[0-9][0-9][-][0-9][0-9][0-9]
23-844,[0-9][0-9][-][0-9][0-9][0-9]
98-529,[0-9][0-9][-][0-9][0-9][0-9]
55-011,[0-9][0-9][-][0-9][0-9][0-9]
64-358,[0-9][0-9][-][0-9][0-9][0-9]
02-903,[0-9][0-9][-][0-9][0-9][0-9]
75-853,[0-9][0-9][-][0-9][0-9][0-9]
85-140,[0-9][0-9][-][0-9][0-9][0-9]
08-403,[0-9][0-9][-][0-9][0-9][0-9]
60-456,[0-9][0-9][-][0-9][0-9][0-9]
77-581,[0-9][0-9][-][0-9][0-9][0-9]
63-422,[0-9][0-9][-][0-9][0-9][0-9]
08-047,[0-9][0-9][-][0-9][0-9][0-9]
67-284,[0-9][0-9][-][0-9][0-9][0-9]
55-978,[0-9][0-9][-][0-9][0-9][0-9]
62-350,[0-9][0-9][-][0-9][0-9][0-9]
24-636,[0-9][0-9][-][0-9][0-9][0-9]
96-018,[0-9][0-9][-][0-9][0-9][0-9]
57-138,[0-9][0-9][-][0-9][0-9][0-9]
41-741,[0-9][0-9][-][0-9][0-9][0-9]
59-098,[0-9][0-9][-][0-9][0-9][0-9]
38-850,[0-9][0-9][-][0-9][0-9][0-9]
49-056,[0-9][0-9][-][0-9][0-9][0-9]
24-765,[0-9][0-9][-][0-9][0-9][0-9]
39-298,[0-9][0-9][-][0-9][0-9][0-9]
63-428,[0-9][0-9][-][0-9][0-9][0-9]
42-004,[0-9][0-9][-][0-9][0-9][0-9]
27-049,[0-9][0-9][-][0-9][0-9][0-9]
99-960,[0-9][0-9][-][0-9][0-9][0-9]
49-497,[0-9][0-9][-][0-9][0-9][0-9]
73-087,[0-9][0-9][-][0-9][0-9][0-9]
33-895,[0-9][0-9][-][0-9][0-9][0-9]
65-419,[0-9][0-9][-][0-9][0-9][0-9]
50-056,[0-9][0-9][-][0-9][0-9][0-9]
15-577,[0-9][0-9][-][0-9][0-9][0-9]
15-156,[0-9][0-9][-][0-9][0-9][0-9]
75-836,[0-9][0-9][-][0-9][0-9][0-9]
25-350,[0-9][0-9][-][0-9][0-9][0-9]
63-734,[0-9][0-9][-][0-9][0-9][0-9]
24-177,[0-9][0-9][-][0-9][0-9][0-9]
54-313,[0-9][0-9][-][0-9][0-9][0-9]
43-857,[0-9][0-9][-][0-9][0-9][0-9]
24-412,[0-9][0-9][-][0-9][0-9][0-9]
93-236,[0-9][0-9][-][0-9][0-9][0-9]
20-556,[0-9][0-9][-][0-9][0-9][0-9]
25-127,[0-9][0-9][-][0-9][0-9][0-9]
91-268,[0-9][0-9][-][0-9][0-9][0-9]
15-067,[0-9][0-9][-][0-9][0-9][0-9]
31-044,[0-9][0-9][-][0-9][0-9][0-9]
89-824,[0-9][0-9][-][0-9][0-9][0-9]
19-481,[0-9][0-9][-][0-9][0-9][0-9]
50-659,[0-9][0-9][-][0-9][0-9][0-9]
70-924,[0-9][0-9][-][0-9][0-9][0-9]
69-048,[0-9][0-9][-][0-9][0-9][0-9]
14-800,[0-9][0-9][-][0-9][0-9][0-9]
14-775,[0-9][0-9][-][0-9][0-9][0-9]
56-303,[0-9][0-9][-][0-9][0-9][0-9]
77-454,[0-9][0-9][-][0-9][0-9][0-9]
46-273,[0-9][0-9][-][0-9][0-9][0-9]
33-402,[0-9][0-9][-][0-9][0-9][0-9]
24-534,[0-9][0-9][-][0-9][0-9][0-9]
03-321,[0-9][0-9][-][0-9][0-9][0-9]
02-320,[0-9][0-9][-][0-9][0-9][0-9]
27-707,[0-9][0-9][-][0-9][0-9][0-9]
66-998,[0-9][0-9][-][0-9][0-9][0-9]
84-826,[0-9][0-9][-][0-9][0-9][0-9]
82-637,[0-9][0-9][-][0-9][0-9][0-9]
76-352,[0-9][0-9][-][0-9][0-9][0-9]
24-067,[0-9][0-9][-][0-9][0-9][0-9]
76-372,[0-9][0-9][-][0-9][0-9][0-9]
39-452,[0-9][0-9][-][0-9][0-9][0-9]
53-061,[0-9][0-9][-][0-9][0-9][0-9]
51-509,[0-9][0-9][-][0-9][0-9][0-9]
52-969,[0-9][0-9][-][0-9][0-9][0-9]
98-319,[0-9][0-9][-][0-9][0-9][0-9]
72-145,[0-9][0-9][-][0-9][0-9][0-9]
23-123,[0-9][0-9][-][0-9][0-9][0-9]
09-818,[0-9][0-9][-][0-9][0-9][0-9]
23-898,[0-9][0-9][-][0-9][0-9][0-9]
35-847,[0-9][0-9][-][0-9][0-9][0-9]
47-931,[0-9][0-9][-][0-9][0-9][0-9]
52-285,[0-9][0-9][-][0-9][0-9][0-9]
93-701,[0-9][0-9][-][0-9][0-9][0-9]
88-274,[0-9][0-9][-][0-9][0-9][0-9]
79-052,[0-9][0-9][-][0-9][0-9][0-9]
47-687,[0-9][0-9][-][0-9][0-9][0-9]
25-163,[0-9][0-9][-][0-9][0-9][0-9]
39-388,[0-9][0-9][-][0-9][0-9][0-9]
77-051,[0-9][0-9][-][0-9][0-9][0-9]
11-521,[0-9][0-9][-][0-9][0-9][0-9]
51-838,[0-9][0-9][-][0-9][0-9][0-9]
34-033,[0-9][0-9][-][0-9][0-9][0-9]
23-194,[0-9][0-9][-][0-9][0-9][0-9]
23-111,[0-9][0-9][-][0-9][0-9][0-9]
75-855,[0-9][0-9][-][0-9][0-9][0-9]
20-784,[0-9][0-9][-][0-9][0-9][0-9]
48-536,[0-9][0-9][-][0-9][0-9][0-9]
44-924,[0-9][0-9][-][0-9][0-9][0-9]
62-672,[0-9][0-9][-][0-9][0-9][0-9]
27-630,[0-9][0-9][-][0-9][0-9][0-9]
00-472,[0-9][0-9][-][0-9][0-9][0-9]
93-709,[0-9][0-9][-][0-9][0-9][0-9]
45-088,[0-9][0-9][-][0-9][0-9][0-9]
10-247,[0-9][0-9][-][0-9][0-9][0-9]
64-369,[0-9][0-9][-][0-9][0-9][0-9]
87-016,[0-9][0-9][-][0-9][0-9][0-9]
36-960,[0-9][0-9][-][0-9][0-9][0-9]
59-691,[0-9][0-9][-][0-9][0-9][0-9]
97-581,[0-9][0-9][-][0-9][0-9][0-9]
82-468,[0-9][0-9][-][0-9][0-9][0-9]
65-011,[0-9][0-9][-][0-9][0-9][0-9]
91-899,[0-9][0-9][-][0-9][0-9][0-9]
43-992,[0-9][0-9][-][0-9][0-9][0-9]
29-687,[0-9][0-9][-][0-9][0-9][0-9]
99-470,[0-9][0-9][-][0-9][0-9][0-9]
93-090,[0-9][0-9][-][0-9][0-9][0-9]
18-254,[0-9][0-9][-][0-9][0-9][0-9]
39-082,[0-9][0-9][-][0-9][0-9][0-9]
16-135,[0-9][0-9][-][0-9][0-9][0-9]
28-617,[0-9][0-9][-][0-9][0-9][0-9]
42-839,[0-9][0-9][-][0-9][0-9][0-9]
26-039,[0-9][0-9][-][0-9][0-9][0-9]
04-401,[0-9][0-9][-][0-9][0-9][0-9]
36-402,[0-9][0-9][-][0-9][0-9][0-9]
05-671,[0-9][0-9][-][0-9][0-9][0-9]
89-297,[0-9][0-9][-][0-9][0-9][0-9]
97-101,[0-9][0-9][-][0-9][0-9][0-9]
